City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,-22.71,84,20,3.6,CA,1702317591
1,lyantor,61.6195,72.1555,-32.9,95,55,3.33,RU,1702317789
2,grytviken,-54.2811,-36.5092,4.66,82,95,5.34,GS,1702317789
3,nikolayevsk-on-amure,53.1406,140.73,-21.57,84,53,4.59,RU,1702317791
4,tarawa,1.419,172.984,26.05,94,75,0.51,KI,1702317793
5,adamstown,-25.066,-130.1015,21.35,62,1,2.37,PN,1702317793
6,bairnsdale,-37.8333,147.6167,18.92,96,100,1.34,AU,1702317793
7,cockburn town,21.4612,-71.1419,28.98,70,40,6.17,TC,1702317794
8,waitangi,-43.9535,-176.5597,14.34,87,97,3.13,NZ,1702317794
9,tiksi,71.6872,128.8694,-22.55,100,100,4.11,RU,1702317794
10,port-aux-francais,-49.35,70.2167,5.19,93,67,8.07,TF,1702317795
11,arraial do cabo,-22.9661,-42.0278,23.98,88,75,5.14,BR,1702317795
12,kailua-kona,19.6406,-155.9956,25.89,81,0,2.21,US,1702317721
13,ushuaia,-54.8,-68.3,10.81,43,0,3.6,AR,1702317623
14,west island,-12.1568,96.8225,25.99,73,16,2.57,CC,1702317795
15,bulayevo,54.9056,70.4439,-28.32,92,14,4.52,KZ,1702317534
16,korla,41.7597,86.1469,-2.37,57,83,0.45,CN,1702317796
17,tamanrasset,22.785,5.5228,18.95,19,0,5.14,DZ,1702317593
18,chibougamau,49.9168,-74.3659,-7.21,79,100,4.12,CA,1702317797
19,bijie,27.3125,105.2942,9.43,89,100,2.39,CN,1702317797
20,albany,42.6001,-73.9662,4.69,78,99,0.89,US,1702317644
21,moratalla,38.1893,-1.8918,15.91,42,98,0.6,ES,1702317797
22,zaoyang,32.1272,112.7542,1.94,73,94,1.84,CN,1702317798
23,nizhneudinsk,54.9076,99.0276,-33.77,99,19,0.74,RU,1702317798
24,caconda,-13.7333,15.0667,17.96,84,100,2.15,AO,1702317604
25,bandon,51.7469,-8.7425,10.77,93,98,5.89,IE,1702317799
26,peace river,56.2501,-117.286,-9.83,79,100,2.06,CA,1702317799
27,akureyri,65.6835,-18.0878,-4.04,80,75,0.0,IS,1702317799
28,constantia,44.1833,28.65,2.61,78,70,3.55,RO,1702317557
29,elliot lake,46.3834,-82.6331,-3.52,57,21,3.7,CA,1702317800
30,sao joao da barra,-21.6403,-41.0511,28.05,81,100,5.49,BR,1702317800
31,brokopondo,4.75,-55.1667,31.46,54,59,1.23,SR,1702317800
32,nyagan,62.1406,65.3936,-29.16,90,89,3.97,RU,1702317800
33,yuzhno-kurilsk,44.0306,145.8556,0.76,76,77,0.5,RU,1702317801
34,edinburgh of the seven seas,-37.0676,-12.3116,13.76,83,100,9.67,SH,1702317801
35,nar'yan-mar,67.6713,53.087,-16.61,94,100,9.39,RU,1702317801
36,tazovsky,67.4667,78.7,-25.77,95,100,3.98,RU,1702317802
37,stanley,54.868,-1.6985,3.17,93,20,1.54,GB,1702317511
38,ribeira grande,38.5167,-28.7,16.22,72,40,5.66,PT,1702317802
39,tralee,52.2704,-9.7026,10.14,93,100,3.09,IE,1702317802
40,thompson,55.7435,-97.8558,-9.91,79,75,6.69,CA,1702317803
41,ar rahad,12.7167,30.65,27.42,12,78,4.68,SD,1702317803
42,lebu,-37.6167,-73.65,15.86,68,72,3.51,CL,1702317803
43,usogorsk,63.4106,48.6872,-15.74,92,100,5.32,RU,1702317803
44,ilulissat,69.2167,-51.1,2.01,64,75,6.17,GL,1702317804
45,binji,13.2228,4.9096,23.48,18,0,4.79,NG,1702317804
46,hermanus,-34.4187,19.2345,18.06,76,0,1.52,ZA,1702317804
47,inverloch,-38.6333,145.7167,18.66,90,100,5.89,AU,1702317805
48,ma'rib,15.4591,45.3253,17.12,24,14,1.33,YE,1702317805
49,bredasdorp,-34.5322,20.0403,18.27,64,0,3.08,ZA,1702317805
50,puerto princesa,9.7392,118.7353,24.99,94,20,2.06,PH,1702317805
51,port alfred,-33.5906,26.891,20.66,89,13,0.45,ZA,1702317806
52,san pedro pochutla,15.7333,-96.4667,31.01,40,68,2.92,MX,1702317707
53,mogocha,53.7333,119.7667,-34.54,98,8,1.34,RU,1702317806
54,vorgashor,67.5833,63.95,-22.16,96,100,4.5,RU,1702317807
55,broome,42.2506,-75.833,2.01,89,100,4.12,US,1702317807
56,ermoupolis,37.4423,24.9425,14.39,77,20,5.14,GR,1702317807
57,aasiaat,68.7098,-52.8699,-0.41,73,100,6.38,GL,1702317808
58,kerikeri,-35.2268,173.9474,12.73,84,30,4.07,NZ,1702317808
59,aldama,22.9167,-98.0667,20.21,42,100,3.08,MX,1702317808
60,okha,53.5739,142.9478,-20.65,89,83,10.21,RU,1702317809
61,papatowai,-46.5619,169.4708,8.23,73,39,8.32,NZ,1702317809
62,thunder bay,48.4001,-89.3168,-5.01,68,75,5.14,CA,1702317650
63,severodvinsk,64.5635,39.8302,-14.93,94,98,3.62,RU,1702317810
64,belyy yar,53.6039,91.3903,-34.06,75,22,0.0,RU,1702317810
65,mawlaik,23.6333,94.4167,16.96,92,1,0.45,MM,1702317811
66,bethel,41.3712,-73.414,6.42,70,100,5.66,US,1702317804
67,sao paulo de olivenca,-3.3783,-68.8725,30.67,75,69,0.74,BR,1702317811
68,gizo,-8.103,156.8419,27.14,77,100,2.54,SB,1702317811
69,puerto natales,-51.7236,-72.4875,13.25,44,75,8.75,CL,1702317812
70,blackmans bay,-43.0167,147.3167,9.18,92,73,0.45,AU,1702317812
71,lata,40.1629,-8.3327,17.12,89,100,1.89,PT,1702317812
72,udachny,66.4167,112.4,-25.27,96,100,4.95,RU,1702317813
73,praia da vitoria,38.7333,-27.0667,16.53,88,20,5.01,PT,1702317813
74,yashkul',46.1711,45.3435,-1.08,82,100,9.62,RU,1702317814
75,sao desiderio,-12.3633,-44.9733,34.08,28,81,2.5,BR,1702317814
76,alice springs,-23.7,133.8833,11.75,66,0,0.0,AU,1702317815
77,ust-nera,64.5667,143.2,-19.46,98,100,3.9,RU,1702317815
78,namibe,-15.1961,12.1522,21.93,76,54,5.43,AO,1702317816
79,kidal,18.4411,1.4078,21.74,23,4,5.52,ML,1702317816
80,howrah,22.5892,88.3103,18.0,77,0,0.0,IN,1702317817
81,saint-francois,46.4154,3.9054,13.69,95,0,2.06,FR,1702317817
82,puerto deseado,-47.7503,-65.8938,15.16,57,60,4.94,AR,1702317817
83,kenai,60.5544,-151.2583,-1.03,100,100,2.57,US,1702317818
84,tongren,27.7172,109.1853,5.5,85,100,2.76,CN,1702317818
85,antalaha,-14.9003,50.2788,24.75,89,85,2.98,MG,1702317818
86,talnakh,69.4865,88.3972,-24.89,98,100,4.31,RU,1702317818
87,launceston,-41.45,147.1667,13.8,100,100,2.57,AU,1702317819
88,port elizabeth,-33.918,25.5701,21.17,82,0,3.6,ZA,1702317817
89,ancud,-41.8697,-73.8203,12.05,96,100,6.92,CL,1702317819
90,magadan,59.5667,150.8,-9.95,96,100,4.11,RU,1702317819
91,jalingo,8.8833,11.3667,25.3,21,22,2.36,NG,1702317819
92,wailua homesteads,22.0669,-159.378,24.44,90,100,2.57,US,1702317820
93,qamdo,31.1667,97.2333,-9.28,24,30,0.31,CN,1702317820
94,naze,28.3667,129.4833,20.51,85,59,9.49,JP,1702317820
95,la passe,45.5549,-0.8967,15.13,98,100,7.5,FR,1702317821
96,georgetown,5.4112,100.3354,26.08,94,20,1.03,MY,1702317534
97,cidade velha,14.9167,-23.6167,27.26,50,3,8.75,CV,1702317821
98,douglas,41.3,-96.167,6.29,59,0,2.57,US,1702317821
99,invercargill,-46.4,168.35,6.42,91,52,4.34,NZ,1702317822
100,hadibu,12.65,54.0333,25.62,63,10,6.37,YE,1702317822
101,dudinka,69.4058,86.1778,-24.62,98,100,6.26,RU,1702317822
102,santa marinella,42.0345,11.8536,15.39,92,100,7.12,IT,1702317822
103,yaren,-0.5472,166.916,28.83,75,73,4.16,NR,1702317822
104,villamontes,-21.25,-63.5,35.03,37,66,3.69,BO,1702317823
105,east aurora,42.7678,-78.6134,1.55,70,98,3.58,US,1702317823
106,isafjordur,66.0755,-23.124,-1.98,64,100,3.09,IS,1702317823
107,aitape,-3.1374,142.3475,27.35,84,85,6.02,PG,1702317823
108,margaret river,-33.95,115.0667,16.54,59,0,4.05,AU,1702317823
109,corner brook,48.9667,-57.9484,15.09,91,100,7.31,CA,1702317823
110,st. john's,47.5649,-52.7093,10.87,94,100,9.77,CA,1702317723
111,olonkinbyen,70.9221,-8.7187,-0.31,98,100,8.44,SJ,1702317824
112,meadow lakes,61.6247,-149.6011,2.93,78,100,5.66,US,1702317824
113,luanda,-8.8368,13.2343,28.0,78,40,3.6,AO,1702317578
114,whitehorse,60.7161,-135.0538,-4.57,86,75,9.77,CA,1702317721
115,egilsstadir,65.2653,-14.3948,-5.05,74,0,2.06,IS,1702317824
116,narvik,68.4384,17.4272,-5.97,86,22,1.8,NO,1702317663
117,san martin,-33.081,-68.4681,33.3,18,0,3.33,AR,1702317825
118,atafu village,-8.5421,-172.5159,28.33,80,100,10.97,TK,1702317825
